project,person,role
"Echo 2: Exploring and Collecting the History of Science, Technology, and Industry in a Digital Era",Roy Rosenzweig,Proposal Co-Authors
"Echo 2: Exploring and Collecting the History of Science, Technology, and Industry in a Digital Era",Dan Cohen,Proposal Co-Authors
"Echo 2: Exploring and Collecting the History of Science, Technology, and Industry in a Digital Era",Tom Scheinfeldt,Proposal Co-Authors
"Echo 2: Exploring and Collecting the History of Science, Technology, and Industry in a Digital Era",Connie Moon Sehat,Director(s)
"Echo 2: Exploring and Collecting the History of Science, Technology, and Industry in a Digital Era",Josh Greenberg,Director(s)
"Echo 2: Exploring and Collecting the History of Science, Technology, and Industry in a Digital Era",Sean Takats,Director(s)
"Echo 2: Exploring and Collecting the History of Science, Technology, and Industry in a Digital Era",Joan Fragaszy,Staff Members
"Echo 2: Exploring and Collecting the History of Science, Technology, and Industry in a Digital Era",Marty Andolino,Staff Members
"Echo 2: Exploring and Collecting the History of Science, Technology, and Industry in a Digital Era",Jennifer Reeder,Staff Members
Exposing and Sharing the Hidden Archive: Advancing Scholarship and Academic Collaboration,Dan Cohen,Proposal Co-Authors
Exposing and Sharing the Hidden Archive: Advancing Scholarship and Academic Collaboration,Roy Rosenzweig,Proposal Co-Authors
Zotero Everywhere: Browser- and Machine-Independent Support for the Research Community ,Sean Takats,Proposal Co-Authors
Zotero Everywhere: Browser- and Machine-Independent Support for the Research Community ,Dan Cohen,Proposal Co-Authors
Zotero Everywhere: Browser- and Machine-Independent Support for the Research Community ,Chris Raymond,Web Designer(s)
Zotero Everywhere: Browser- and Machine-Independent Support for the Research Community ,Dan Stillman,Programmers
Zotero Everywhere: Browser- and Machine-Independent Support for the Research Community ,Faolan Cheslack-Postava,Programmers
Zotero Everywhere: Browser- and Machine-Independent Support for the Research Community ,Trevor Owens,Programmers
Zotero Everywhere: Browser- and Machine-Independent Support for the Research Community ,Ammon Shepherd,Staff Members
Zotero Everywhere: Browser- and Machine-Independent Support for the Research Community ,Andy Privee,Staff Members
Zotero Everywhere: Browser- and Machine-Independent Support for the Research Community ,Trevor Owens,Outreach
Firefox Scholar 2.0: Building the Next Generation Scholarly Research Tool,Dan Cohen,Proposal Co-Authors
Firefox Scholar 2.0: Building the Next Generation Scholarly Research Tool,Roy Rosenzweig,Proposal Co-Authors
Firefox Scholar 2.0: Building the Next Generation Scholarly Research Tool,Josh Greenberg,Director(s)
Teachinghistory.org,Roy Rosenzweig,Proposal Co-Authors
Teachinghistory.org,Kelly Schrum,Proposal Co-Authors
Teachinghistory.org,Sharon Leon,Proposal Co-Authors
Teachinghistory.org,Daisy Martin,Proposal Co-Authors
Teachinghistory.org,Sam Wineburg,Proposal Co-Authors
Teachinghistory.org,Kelly Schrum,Director(s)
Teachinghistory.org,Chris Raymond,Web Designer(s)
Teachinghistory.org,James McCartney,Programmers
Teachinghistory.org,John Buescher,Staff Members
Teachinghistory.org,Alan Gevinson,Staff Members
Teachinghistory.org,Lara Harmon,Staff Members
Teachinghistory.org,Alaina Harmon,Staff Members
Teachinghistory.org,Emily Perdue,Staff Members
Teachinghistory.org,Carl Aldrich,Staff Members
Teachinghistory.org,Kristin Conlin,Staff Members
Teachinghistory.org,Debra Kathman,Staff Members
Teachinghistory.org,Saul I. Maldonado,Staff Members
Teachinghistory.org,Mark Smith,Staff Members
Teachinghistory.org,Chris Preperato,Staff Members
Teachinghistory.org,Ammon Shepherd,Staff Members
Teachinghistory.org,Jennifer Rosenfeld,Outreach
Teachinghistory.org,Teresa DeFlitch,Outreach
Teachinghistory.org,James A. Banks,Content Experts
Teachinghistory.org,James Banner,Content Experts
Teachinghistory.org,Beth Boland,Content Experts
Teachinghistory.org,Clayborne Carson,Content Experts
Teachinghistory.org,Alison Clark,Content Experts
Teachinghistory.org,James Grossman,Content Experts
Teachinghistory.org,Joy Hakim,Content Experts
Teachinghistory.org,Karen Haltunnen,Content Experts
Teachinghistory.org,James Horton,Content Experts
Teachinghistory.org,David M. Kennedy,Content Experts
Teachinghistory.org,Dennis Lubeck,Content Experts
Teachinghistory.org,Andrea Quihuis,Content Experts
Teachinghistory.org,Diane Ravitch,Content Experts
Teachinghistory.org,Kyle Smith,Content Experts
Teachinghistory.org,Peter Stearns,Content Experts
Teachinghistory.org,Tom Thurston,Content Experts
Teachinghistory.org,Myra Zarnowski,Content Experts
Teachinghistory.org,Alan Gevinson,Content Experts
Teachinghistory.org,American Historical Association,Affiliates
Teachinghistory.org,Stanford History Education Group,Affiliates
Fostering the Recent History of Science and Technology in New Media (Echo 1),Roy Rosenzweig,Proposal Co-Authors
Fostering the Recent History of Science and Technology in New Media (Echo 1),Roy Rosenzweig,Director(s)
Fostering the Recent History of Science and Technology in New Media (Echo 1),Jim Sparrow,Director(s)
Fostering the Recent History of Science and Technology in New Media (Echo 1),Dan Cohen,Director(s)
Fostering the Recent History of Science and Technology in New Media (Echo 1),Michael O'Malley,Affiliates
Fostering the Recent History of Science and Technology in New Media (Echo 1),John Cheng,Affiliates
Fostering the Recent History of Science and Technology in New Media (Echo 1),Alison Landsberg,Affiliates
Hurricane Digital Memory Bank,Roy Rosenzweig,Proposal Co-Authors
Hurricane Digital Memory Bank,Dan Cohen,Director(s)
Hurricane Digital Memory Bank,Tom Scheinfeldt,Director(s)
Hurricane Digital Memory Bank,Nate Agrin,Web Designer(s)
Hurricane Digital Memory Bank,Jim Safley,Programmers
Hurricane Digital Memory Bank,Olivia Ryan,Staff Members
Hurricane Digital Memory Bank,Allison O'Connor,Staff Members
Hurricane Digital Memory Bank,Roger Mellen,Staff Members
Papers of the War Department 1784-1800,Roy Rosenzweig,Proposal Co-Authors
Papers of the War Department 1784-1800,Chris Hamner,Director(s)
Papers of the War Department 1784-1800,Tom Scheinfeldt,Director(s)
Papers of the War Department 1784-1800,Jim Safley,Web Designer(s)
Papers of the War Department 1784-1800,Stephanie Hurter,Web Designer(s)
Papers of the War Department 1784-1800,Jim Safley,Programmers
Papers of the War Department 1784-1800,Theodore Crackel,Content Experts
Papers of the War Department 1784-1800,Richard H. Kohn,Content Experts
Papers of the War Department 1784-1800,Rosemarie Zagarri,Content Experts
Papers of the War Department 1784-1800,Jane Turner Censer,Content Experts
Papers of the War Department 1784-1800,Dan Cohen,Content Experts
Papers of the War Department 1784-1800,Brig. Gen. (ret) John S. Brown ,Content Experts
Papers of the War Department 1784-1800,Meredith Lair,Content Experts
Papers of the War Department 1784-1800,Randolph Scully,Content Experts
Papers of the War Department 1784-1800,Paul Koda ,Content Experts
Papers of the War Department 1784-1800,East Stroudsburg State University,Affiliates
Papers of the War Department 1784-1800,Center for Military History,Affiliates
Papers of the War Department 1784-1800,Roy Rosenzweig,Proposal Co-Authors
Papers of the War Department 1784-1800,Roy Rosenzweig,Director(s)
Papers of the War Department 1784-1800,Chris Hamner,Director(s)
Papers of the War Department 1784-1800,Jim Safley,Programmers
Papers of the War Department 1784-1800,Dick Harless,Staff Members
Papers of the War Department 1784-1800,Benjamin Huggins,Staff Members
Papers of the War Department 1784-1800,Theodore Crackel,Content Experts
Papers of the War Department 1784-1800,Richard H. Kohn,Content Experts
Papers of the War Department 1784-1800,Rosemarie Zagarri,Content Experts
Papers of the War Department 1784-1800,Jane T. Censer,Content Experts
Papers of the War Department 1784-1800,Dan Cohen,Content Experts
Papers of the War Department 1784-1800,Meredith Lair,Content Experts
Papers of the War Department 1784-1800,Randolph Scully,Content Experts
Papers of the War Department 1784-1800,Fred Anderson,Content Experts
Papers of the War Department 1784-1800,East Stroudsburg State University,Affiliates
Crowdsourcing Documentary Transcription: an Open Source Tool,Sharon Leon,Proposal Co-Authors
Crowdsourcing Documentary Transcription: an Open Source Tool,Chris Hamner,Proposal Co-Authors
Crowdsourcing Documentary Transcription: an Open Source Tool,Sharon Leon,Director(s)
Crowdsourcing Documentary Transcription: an Open Source Tool,Chris Raymond,Web Designer(s)
Crowdsourcing Documentary Transcription: an Open Source Tool,Jim Safley,Programmers
Crowdsourcing Documentary Transcription: an Open Source Tool,Minnesota Historical Society,Affiliates
Crowdsourcing Documentary Transcription: an Open Source Tool, Independence Seaport Museum,Affiliates
Crowdsourcing Documentary Transcription: an Open Source Tool,Chris Hamner,Proposal Co-Authors
Crowdsourcing Documentary Transcription: an Open Source Tool,Sharon Leon,Proposal Co-Authors
Crowdsourcing Documentary Transcription: an Open Source Tool,Sharon Leon,Director(s)
Crowdsourcing Documentary Transcription: an Open Source Tool,Chris Raymond,Web Designer(s)
Crowdsourcing Documentary Transcription: an Open Source Tool,Jim Safley,Programmers
Crowdsourcing Documentary Transcription: an Open Source Tool,Minnesota Historical Society,Affiliates
Crowdsourcing Documentary Transcription: an Open Source Tool, Independence Seaport Museum,Affiliates
Papers of the War Department 1784-1800,Chris Hamner,Proposal Co-Authors
Papers of the War Department 1784-1800,Tom Scheinfeldt,Director(s)
Papers of the War Department 1784-1800,Jim Safley,Programmers
Papers of the War Department 1784-1800,Ted Crackel,Content Experts
Papers of the War Department 1784-1800,Richard H. Kohn,Content Experts
Papers of the War Department 1784-1800,Rosemarie Zagarri,Content Experts
Papers of the War Department 1784-1800,Fred Anderson,Content Experts
Papers of the War Department 1784-1800,Jane Turner Censer,Content Experts
Papers of the War Department 1784-1800,Dan Cohen,Content Experts
Papers of the War Department 1784-1800,Meredith Lair,Content Experts
Papers of the War Department 1784-1800,Randolph Scully,Content Experts
The PressForward Initiative: Creating New Modes and New Platforms for Scholarship Beyond Traditional Forms,Tom Scheinfeldt,Proposal Co-Authors
The PressForward Initiative: Creating New Modes and New Platforms for Scholarship Beyond Traditional Forms,Dan Cohen,Proposal Co-Authors
The PressForward Initiative: Creating New Modes and New Platforms for Scholarship Beyond Traditional Forms,Joan Fragaszy,Director(s)
The PressForward Initiative: Creating New Modes and New Platforms for Scholarship Beyond Traditional Forms,Sean Takats,Director(s)
The PressForward Initiative: Creating New Modes and New Platforms for Scholarship Beyond Traditional Forms,Stephanie Westcott,Director(s)
The PressForward Initiative: Creating New Modes and New Platforms for Scholarship Beyond Traditional Forms,Lisa Rhody,Director(s)
The PressForward Initiative: Creating New Modes and New Platforms for Scholarship Beyond Traditional Forms,Lindsay Bestebreurtje,Staff Members
The PressForward Initiative: Creating New Modes and New Platforms for Scholarship Beyond Traditional Forms,Sasha Boni,Staff Members
The PressForward Initiative: Creating New Modes and New Platforms for Scholarship Beyond Traditional Forms,Amanda Morton,Staff Members
The PressForward Initiative: Creating New Modes and New Platforms for Scholarship Beyond Traditional Forms,Jeri Wieringa,Staff Members
The PressForward Initiative: Creating New Modes and New Platforms for Scholarship Beyond Traditional Forms,Ben Schneider,Staff Members
The PressForward Initiative: Creating New Modes and New Platforms for Scholarship Beyond Traditional Forms,Adam Aston,Content Experts
The PressForward Initiative: Creating New Modes and New Platforms for Scholarship Beyond Traditional Forms,Kathleen Fitzpatrick,Content Experts
The PressForward Initiative: Creating New Modes and New Platforms for Scholarship Beyond Traditional Forms,Peter Jerram,Content Experts
The PressForward Initiative: Creating New Modes and New Platforms for Scholarship Beyond Traditional Forms,Shana Kimball,Content Experts
The PressForward Initiative: Creating New Modes and New Platforms for Scholarship Beyond Traditional Forms,David Kirsch,Content Experts
The PressForward Initiative: Creating New Modes and New Platforms for Scholarship Beyond Traditional Forms,Alexis Madrigal,Content Experts
The PressForward Initiative: Creating New Modes and New Platforms for Scholarship Beyond Traditional Forms,Steve Wheatley,Content Experts
The PressForward Initiative: Creating New Modes and New Platforms for Scholarship Beyond Traditional Forms,Aram Zucker-Scharff,Affiliates
The PressForward Initiative: Creating New Modes and New Platforms for Scholarship Beyond Traditional Forms,Boone Gorges,Affiliates
September 11 Digital Archive: Sustaining the Historical Memory of 9/11,Tom Scheinfeldt,Director(s)
September 11 Digital Archive: Sustaining the Historical Memory of 9/11,Sharon Leon,Director(s)
September 11 Digital Archive: Sustaining the Historical Memory of 9/11,Ken Albers,Web Designer(s)
September 11 Digital Archive: Sustaining the Historical Memory of 9/11,Ammon Shepherd,Programmers
September 11 Digital Archive: Sustaining the Historical Memory of 9/11,Abbie Grotke,Content Experts
September 11 Digital Archive: Sustaining the Historical Memory of 9/11,Robert Horton,Content Experts
September 11 Digital Archive: Sustaining the Historical Memory of 9/11,Clifford Lynch,Content Experts
September 11 Digital Archive: Sustaining the Historical Memory of 9/11,Jan Seidler Ramirez,Content Experts
September 11 Digital Archive: Sustaining the Historical Memory of 9/11,"Greg (""Fritz"") Umbach",Content Experts
September 11 Digital Archive: Sustaining the Historical Memory of 9/11,Joshua Brown,Affiliates
September 11 Digital Archive: Sustaining the Historical Memory of 9/11,Pennee Bender,Affiliates
September 11 Digital Archive: Sustaining the Historical Memory of 9/11,Stephen Brier,Affiliates
September 11 Digital Archive: Sustaining the Historical Memory of 9/11,Andrea Ades Vasquez,Affiliates
September 11 Digital Archive: Sustaining the Historical Memory of 9/11,Aaron Knoll,Affiliates
September 11 Digital Archive: Sustaining the Historical Memory of 9/11,Charles June,Affiliates
Making the History of 1989: Sources and Narratives of the Fall of Communism,Kelly Schrum,Proposal Co-Authors
Making the History of 1989: Sources and Narratives of the Fall of Communism,T. Mills Kelly,Proposal Co-Authors
Making the History of 1989: Sources and Narratives of the Fall of Communism,Kelly Schrum,Director(s)
Making the History of 1989: Sources and Narratives of the Fall of Communism,T. Mills Kelly,Director(s)
Making the History of 1989: Sources and Narratives of the Fall of Communism,Laura Veprek,Web Designer(s)
Making the History of 1989: Sources and Narratives of the Fall of Communism,Pin Wang,Programmers
Making the History of 1989: Sources and Narratives of the Fall of Communism,Jeremy Boggs,Staff Members
Making the History of 1989: Sources and Narratives of the Fall of Communism,Maureen Connors,Staff Members
Making the History of 1989: Sources and Narratives of the Fall of Communism,Misha Griffith,Staff Members
Making the History of 1989: Sources and Narratives of the Fall of Communism,Kristopher Kelly,Staff Members
Making the History of 1989: Sources and Narratives of the Fall of Communism,Kristin May,Staff Members
Making the History of 1989: Sources and Narratives of the Fall of Communism,Anastasia Mikheeva,Staff Members
Making the History of 1989: Sources and Narratives of the Fall of Communism,Liz Moore,Staff Members
Making the History of 1989: Sources and Narratives of the Fall of Communism,Emily Perdue,Staff Members
Making the History of 1989: Sources and Narratives of the Fall of Communism,Misha Vinokur,Staff Members
Making the History of 1989: Sources and Narratives of the Fall of Communism,Elizabeth Morrow Clark,Content Experts
Making the History of 1989: Sources and Narratives of the Fall of Communism,Bradley Abrams,Content Experts
Making the History of 1989: Sources and Narratives of the Fall of Communism,"Maria Bucur
",Content Experts
Making the History of 1989: Sources and Narratives of the Fall of Communism,Padraic Kenney,Content Experts
Making the History of 1989: Sources and Narratives of the Fall of Communism,Vladimir Tismaneanu,Content Experts
Making the History of 1989: Sources and Narratives of the Fall of Communism,Gale Stokes,Content Experts
Making the History of 1989: Sources and Narratives of the Fall of Communism,Tom Rushford,Content Experts
Making the History of 1989: Sources and Narratives of the Fall of Communism,Matthew P. Romaniello,Content Experts
Making the History of 1989: Sources and Narratives of the Fall of Communism,Jon Berndt Olsen,Content Experts
Making the History of 1989: Sources and Narratives of the Fall of Communism,James Bjork,Content Experts
Making the History of 1989: Sources and Narratives of the Fall of Communism,Tom Ewing,Content Experts
Making the History of 1989: Sources and Narratives of the Fall of Communism,Cathleen Giustino,Content Experts
Making the History of 1989: Sources and Narratives of the Fall of Communism,Irina Livezeanu,Content Experts
Making the History of 1989: Sources and Narratives of the Fall of Communism,Brian Porter-Szucs,Content Experts
Making the History of 1989: Sources and Narratives of the Fall of Communism,Jennifer Dikes,Content Experts
Making the History of 1989: Sources and Narratives of the Fall of Communism,Laura Thompson,Content Experts
Making the History of 1989: Sources and Narratives of the Fall of Communism,Cynthia Szwajkowski,Content Experts
Making the History of 1989: Sources and Narratives of the Fall of Communism,Elizabeth Ten Dyke,Content Experts
Making the History of 1989: Sources and Narratives of the Fall of Communism,Hugh Agnew,Content Experts
Making the History of 1989: Sources and Narratives of the Fall of Communism,Melissa Bokovoy,Content Experts
Making the History of 1989: Sources and Narratives of the Fall of Communism,David Doellinger,Content Experts
Making the History of 1989: Sources and Narratives of the Fall of Communism,Maura Hametz,Content Experts
Making the History of 1989: Sources and Narratives of the Fall of Communism,Kevin Deegan-Kraus,Content Experts
Making the History of 1989: Sources and Narratives of the Fall of Communism,Jill Massino,Content Experts
Making the History of 1989: Sources and Narratives of the Fall of Communism,Basia Nowak ,Content Experts
Making the History of 1989: Sources and Narratives of the Fall of Communism,Tricia Starks,Content Experts
Making the History of 1989: Sources and Narratives of the Fall of Communism,Jennifer Walton,Content Experts
Making the History of 1989: Sources and Narratives of the Fall of Communism,Alan Gevinson,Content Experts
Making the History of 1989: Sources and Narratives of the Fall of Communism,Deanna Wooley,Content Experts
Making the History of 1989: Sources and Narratives of the Fall of Communism,Joel Tannenbaum,Content Experts
Making the History of 1989: Sources and Narratives of the Fall of Communism,National Czech and Slovak Museum & Library,Affiliates
Making the History of 1989: Sources and Narratives of the Fall of Communism,"University of Maryland-Baltimore County, Special Collections",Affiliates
Making the History of 1989: Sources and Narratives of the Fall of Communism,Wende Museum,Affiliates
The Object of History: Teaching American History Through Artifacts,Roy Rosenzweig,Director(s)
The Object of History: Teaching American History Through Artifacts,Eleanor Greene,Outreach
The Object of History: Teaching American History Through Artifacts,Barbara Clark Smith,Content Experts
The Object of History: Teaching American History Through Artifacts,James Gardner,Content Experts
The Object of History: Teaching American History Through Artifacts,David Kobrin,Content Experts
The Object of History: Teaching American History Through Artifacts,Elizabeth Butler,Content Experts
The Object of History: Teaching American History Through Artifacts,Judith Gradwohl,Affiliates
The Object of History: Teaching American History Through Artifacts,Matthew MacArthur,Affiliates
The Object of History: Teaching American History Through Artifacts,Benjamin Bloom,Affiliates
The Object of History: Teaching American History Through Artifacts,Patrick Coleman,Affiliates
"Gulag: Many Days, Many Lives",Roy Rosenzweig,Proposal Co-Authors
"Gulag: Many Days, Many Lives",Tom Scheinfeldt,Proposal Co-Authors
"Gulag: Many Days, Many Lives",Roy Rosenzweig,Director(s)
"Gulag: Many Days, Many Lives",Tom Scheinfeldt,Director(s)
"Gulag: Many Days, Many Lives",Steve Barnes,Director(s)
"Gulag: Many Days, Many Lives",Stephanie Hurter,Web Designer(s)
"Gulag: Many Days, Many Lives",Jeremy Boggs,Web Designer(s)
"Gulag: Many Days, Many Lives",Laura Veprek,Web Designer(s)
"Gulag: Many Days, Many Lives",Amanda Shuman,Programmers
"Gulag: Many Days, Many Lives",Kristopher Kelly,Programmers
"Gulag: Many Days, Many Lives",Gwen White,Staff Members
"Gulag: Many Days, Many Lives",Nastya Mikheeva,Staff Members
"Gulag: Many Days, Many Lives",Elena Razlogova,Staff Members
"Gulag: Many Days, Many Lives",Misha Vinokur,Staff Members
"Gulag: Many Days, Many Lives",Misha Griffith,Staff Members
"Gulag: Many Days, Many Lives",Alexis Hurter,Staff Members
"Gulag: Many Days, Many Lives",Lee Ann Ghajar,Staff Members
"Gulag: Many Days, Many Lives",Mjiriana Visintin,Staff Members
"Gulag: Many Days, Many Lives",Andrew Graulich,Staff Members
"Gulag: Many Days, Many Lives",Steve Barnes,Outreach
"Gulag: Many Days, Many Lives",Elena Razlogova,Outreach
"Gulag: Many Days, Many Lives",Anne Applebaum,Content Experts
"Gulag: Many Days, Many Lives",Lynne Viola,Content Experts
"Gulag: Many Days, Many Lives",Amir Weiner,Content Experts
"Gulag: Many Days, Many Lives",Viktor Shmyrov,Content Experts
"Gulag: Many Days, Many Lives",Peter Holquist,Content Experts
"Gulag: Many Days, Many Lives",Stephen Kotkin,Content Experts
"Gulag: Many Days, Many Lives",Joshua Brown,Content Experts
"Gulag: Many Days, Many Lives",National Park Service,Affiliates
Global Childhood: Children and Youth in History,Kelly Schrum,Proposal Co-Authors
Global Childhood: Children and Youth in History,Miriam Forman-Brunell,Proposal Co-Authors
Global Childhood: Children and Youth in History,Kelly Schrum,Director(s)
Global Childhood: Children and Youth in History,Miriam Forman-Brunell,Director(s)
Global Childhood: Children and Youth in History,Chris Raymond,Web Designer(s)
Global Childhood: Children and Youth in History,Jeremy Boggs,Programmers
Global Childhood: Children and Youth in History,Amanda Shuman,Staff Members
Global Childhood: Children and Youth in History,Mary A. McMurray,Staff Members
Global Childhood: Children and Youth in History,Susan Douglass,Staff Members
Global Childhood: Children and Youth in History,Kelly Schrum,Outreach
Global Childhood: Children and Youth in History,Miriam Forman-Brunell,Outreach
Global Childhood: Children and Youth in History,Peter Stearns,Content Experts
Global Childhood: Children and Youth in History,Paula Fass,Content Experts
Global Childhood: Children and Youth in History,Paula Petrik,Content Experts
Global Childhood: Children and Youth in History,Merry Wiesner Hanks,Content Experts
Global Childhood: Children and Youth in History,Heidi Roupp,Content Experts
Global Childhood: Children and Youth in History,Steven Mintz,Content Experts
Global Childhood: Children and Youth in History,Claudia Mitchell,Content Experts
Global Childhood: Children and Youth in History,Colin Heywood,Content Experts
Global Childhood: Children and Youth in History,Sharon Cohen,Content Experts
Global Childhood: Children and Youth in History,Ryba Epstein,Content Experts
Global Childhood: Children and Youth in History,Nancy Stockdale,Content Experts
Global Childhood: Children and Youth in History,Ilana Nash,Content Experts
Global Childhood: Children and Youth in History,Nora E. Jaffary,Content Experts
Global Childhood: Children and Youth in History,Janelle Collett,Content Experts
Global Childhood: Children and Youth in History,Elizabeth Ten Dyke,Content Experts
Global Childhood: Children and Youth in History,Christopher Corley,Content Experts
Global Childhood: Children and Youth in History,James Marten,Content Experts
Global Childhood: Children and Youth in History,Sue Fernsebner,Content Experts
Global Childhood: Children and Youth in History,Jessica Hodgson,Content Experts
Global Childhood: Children and Youth in History,Nora E. Jaffary,Content Experts
Global Childhood: Children and Youth in History,Ilana Nash,Content Experts
